,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
688,2017-04-05,6245.16552563825,6245.16552563825,6245.16552563825,5921.308613140114,5710.389498603543,6145.483240182975
689,2017-04-06,6246.109990527474,6246.109990527474,6246.109990527474,5921.7347979053775,5711.966270216594,6149.872695037756
690,2017-04-07,6247.054455416697,6247.054455416697,6247.054455416697,5928.516204647918,5712.430858896411,6158.930394254292
691,2017-04-10,6249.88785039406,6249.88785039406,6249.88785039406,5938.836307880852,5741.278285796609,6173.645931243307
692,2017-04-11,6250.832315386514,6250.832315386514,6250.832315386514,5956.805939849546,5730.144048831885,6173.664316001847
693,2017-04-12,6251.776780378968,6251.776780378968,6251.776780378968,5964.391845141273,5761.956012234109,6190.106263561984
694,2017-04-13,6252.721245371424,6252.721245371424,6252.721245371424,5966.718332504491,5741.885675850719,6206.030639758983
695,2017-04-17,6256.4991053412405,6256.4991053412405,6256.4991053412405,5989.095093371017,5769.832206458688,6200.677273758116
696,2017-04-18,6257.443570333695,6257.443570333695,6257.443570333695,6007.63390413768,5780.533057952766,6214.681836346802
697,2017-04-19,6258.388035326149,6258.388035326149,6258.388035326149,6015.425087623654,5781.09589387721,6252.779199762855
698,2017-04-20,6259.332500318604,6259.332500318604,6259.332500318604,6017.565566241862,5808.453729295286,6229.739709224075
699,2017-04-21,6260.276965311058,6260.276965311058,6260.276965311058,6025.448121012774,5816.058150029909,6234.226285625716
700,2017-04-24,6263.11036028842,6263.11036028842,6263.11036028842,6034.921958860495,5821.413546697085,6255.058376236735
701,2017-04-25,6264.054825280876,6264.054825280876,6264.054825280876,6051.107670726692,5828.5583305535765,6257.922736445019
702,2017-04-26,6264.99929027333,6264.99929027333,6264.99929027333,6056.125167668981,5833.587963373937,6268.811994346073
703,2017-04-27,6265.943755265784,6265.943755265784,6265.943755265784,6055.097741044186,5831.585125440224,6279.621038736072
704,2017-04-28,6266.888220258238,6266.888220258238,6266.888220258238,6059.454863054773,5848.119288100792,6282.243164741626
705,2017-05-01,6269.721615235601,6269.721615235601,6269.721615235601,6056.725732826302,5841.179524264054,6275.590525302837
706,2017-05-02,6270.666080228056,6270.666080228056,6270.666080228056,6068.52097284471,5851.911893453731,6286.9838558085985
707,2017-05-03,6271.61054522051,6271.61054522051,6271.61054522051,6069.116163994171,5843.81001933707,6293.523789762706
708,2017-05-04,6272.555010212965,6272.555010212965,6272.555010212965,6063.72138895396,5826.148566287099,6280.144287673667
709,2017-05-05,6273.499475205418,6273.499475205418,6273.499475205418,6063.85653247572,5838.733116439912,6287.091048521784
710,2017-05-08,6276.332870182782,6276.332870182782,6276.332870182782,6050.248787775095,5818.9981738139095,6284.181810269925
711,2017-05-09,6277.277335175236,6277.277335175236,6277.277335175236,6059.306648205746,5843.948587132311,6282.391027369718
712,2017-05-10,6278.22180016769,6278.22180016769,6278.22180016769,6057.741341831154,5839.9980370089415,6281.221488573506
713,2017-05-11,6279.166265160145,6279.166265160145,6279.166265160145,6050.829241955131,5839.572801142758,6268.561879024644
714,2017-05-12,6280.110730152599,6280.110730152599,6280.110730152599,6050.144770651082,5825.779588964656,6268.926962627052
715,2017-05-15,6282.944125129962,6282.944125129962,6282.944125129962,6038.596628136166,5814.098777002063,6273.187179535044
716,2017-05-16,6283.888590122417,6283.888590122417,6283.888590122417,6049.877396944587,5811.963358062122,6250.757263354636
717,2017-05-17,6284.83305511487,6284.83305511487,6284.83305511487,6051.275044036119,5827.582192124283,6261.929401017653
718,2017-05-18,6285.777520107325,6285.7775201073255,6285.7775201073255,6048.022467337178,5826.620274147117,6259.58817009193
